time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-07 00:00:00+00:00,1,1,18,2
2024-02-08 00:00:00+00:00,1,1,45,7
2024-02-09 00:00:00+00:00,2,2,10,1
2024-02-10 00:00:00+00:00,1,1,1,1
2024-02-11 00:00:00+00:00,1,1,3,1
2024-02-12 00:00:00+00:00,2,2,28,2
2024-02-13 00:00:00+00:00,2,2,14,2
2024-02-14 00:00:00+00:00,136,3,20,2
2024-02-15 00:00:00+00:00,401,2,199,4
2024-02-16 00:00:00+00:00,580,2,189,2
2024-02-17 00:00:00+00:00,32,2,1,1
2024-02-18 00:00:00+00:00,1,1,0,0
2024-02-19 00:00:00+00:00,377,2,159,3
2024-02-20 00:00:00+00:00,1026,4,352,2
2024-02-21 00:00:00+00:00,501,3,303,4
2024-02-22 00:00:00+00:00,2,2,17,2
2024-02-23 00:00:00+00:00,3,3,4,1
2024-02-24 00:00:00+00:00,2,2,0,0
2024-02-25 00:00:00+00:00,2,2,0,0
2024-02-26 00:00:00+00:00,2,2,0,0
2024-02-27 00:00:00+00:00,2,2,0,0
2024-02-28 00:00:00+00:00,2,2,13,2
2024-02-29 00:00:00+00:00,2,2,0,0
2024-03-01 00:00:00+00:00,2,2,1,1
2024-03-02 00:00:00+00:00,3,3,39,2
2024-03-03 00:00:00+00:00,2,2,0,0
2024-03-04 00:00:00+00:00,2,2,0,0
2024-03-05 00:00:00+00:00,10,3,1,1
2024-03-06 00:00:00+00:00,1550,11,500,2
2024-03-07 00:00:00+00:00,593,4,122,3
2024-03-08 00:00:00+00:00,2,2,5,1
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,1,1,1,1
2024-03-11 00:00:00+00:00,1,1,3,3
2024-03-12 00:00:00+00:00,12,5,15,2
2024-03-13 00:00:00+00:00,12,12,39,3
2024-03-14 00:00:00+00:00,1,1,37,1
2024-03-15 00:00:00+00:00,1,1,37,2
2024-03-16 00:00:00+00:00,1,1,0,0
2024-03-17 00:00:00+00:00,1,1,0,0
2024-03-18 00:00:00+00:00,1,1,38,2
2024-03-19 00:00:00+00:00,2,2,1,1
2024-03-20 00:00:00+00:00,1,1,1,1
2024-03-21 00:00:00+00:00,1,1,14,1
2024-03-22 00:00:00+00:00,1,1,0,0
2024-03-23 00:00:00+00:00,2,2,0,0
2024-03-24 00:00:00+00:00,1,1,0,0
2024-03-25 00:00:00+00:00,1,1,2,1
2024-03-26 00:00:00+00:00,1,1,13,2
2024-03-27 00:00:00+00:00,1,1,1,1
2024-03-28 00:00:00+00:00,1,1,27,2
2024-03-29 00:00:00+00:00,1,1,0,0
2024-03-30 00:00:00+00:00,1,1,0,0
2024-03-31 00:00:00+00:00,1,1,0,0
2024-04-01 00:00:00+00:00,1,1,0,0
2024-04-02 00:00:00+00:00,1,1,7,1
2024-04-03 00:00:00+00:00,1,1,0,0
2024-04-04 00:00:00+00:00,2,2,17,1
2024-04-05 00:00:00+00:00,4,3,8,4
2024-04-06 00:00:00+00:00,1,1,0,0
2024-04-07 00:00:00+00:00,1,1,0,0
2024-04-08 00:00:00+00:00,64,3,7,2
2024-04-09 00:00:00+00:00,437,2,225,3
2024-04-10 00:00:00+00:00,479,2,141,1
2024-04-11 00:00:00+00:00,217,2,49,2
2024-04-12 00:00:00+00:00,412,2,50,2
2024-04-13 00:00:00+00:00,541,4,264,1
2024-04-14 00:00:00+00:00,63,2,17,1
2024-04-15 00:00:00+00:00,191,3,61,3
2024-04-16 00:00:00+00:00,188,3,47,4
2024-04-17 00:00:00+00:00,1,1,4,2
2024-04-18 00:00:00+00:00,62,1,5,2
